,chipid,month
12,0060c0a5,6
13,0060c0a5,6
36,00e6b793,6
37,00e6b793,6
60,00fd0698,6
61,00fd0698,6
84,010966cb,6
85,010966cb,6
108,017f206b,6
109,017f206b,6
132,01b0ad1c,6
133,01b0ad1c,6
156,01f7f810,6
157,01f7f810,6
180,023f5e10,6
181,023f5e10,6
204,02613007,6
205,02613007,6
228,02763d7a,6
229,02763d7a,6
252,027a4ff4,6
253,027a4ff4,6
276,0287b450,6
277,0287b450,6
300,02a7f72f,6
301,02a7f72f,6
324,02c460be,6
325,02c460be,6
348,031fd0f5,6
349,031fd0f5,6
372,03419529,6
373,03419529,6
396,036d94c9,6
397,036d94c9,6
420,03bf29fa,6
421,03bf29fa,6
444,03e506af,6
445,03e506af,6
468,03f9e229,6
469,03f9e229,6
492,043d8d0c,6
493,043d8d0c,6
516,04a6a767,6
517,04a6a767,6
540,04b380c7,6
541,04b380c7,6
564,04d55e6a,6
565,04d55e6a,6
588,04dbc732,6
589,04dbc732,6
612,04debe47,6
613,04debe47,6
636,056224a2,6
637,056224a2,6
660,05e52522,6
661,05e52522,6
684,06212e56,6
685,06212e56,6
708,0636b264,6
709,0636b264,6
732,0651d43e,6
733,0651d43e,6
756,0658093b,6
757,0658093b,6
780,06e891e5,6
781,06e891e5,6
804,07a084ca,6
805,07a084ca,6
828,07e3ec27,6
829,07e3ec27,6
852,08084efe,6
853,08084efe,6
876,0823f904,6
877,0823f904,6
900,083f0dfb,6
901,083f0dfb,6
924,08c83160,6
925,08c83160,6
948,08ecfd3c,6
949,08ecfd3c,6
972,092ce360,6
973,092ce360,6
996,0950a3da,6
997,0950a3da,6
1020,0964800b,6
1021,0964800b,6
1044,0980ecf3,6
1045,0980ecf3,6
1068,09914ef8,6
1069,09914ef8,6
1092,0a04e5c1,6
1093,0a04e5c1,6
1116,0a073fe4,6
1117,0a073fe4,6
1140,0aa21699,6
1141,0aa21699,6
1164,0ad475a1,6
1165,0ad475a1,6
1188,0b255824,6
1189,0b255824,6
1212,0b8d5875,6
1213,0b8d5875,6
1236,0baa5577,6
1237,0baa5577,6
1260,0bf069c3,6
1261,0bf069c3,6
1284,0c19b4a5,6
1285,0c19b4a5,6
1308,0c4a3582,6
1309,0c4a3582,6
1332,0ca16dfd,6
1333,0ca16dfd,6
1356,0ca69c96,6
1357,0ca69c96,6
1380,0d0be2c8,6
1381,0d0be2c8,6
1404,0d226508,6
1405,0d226508,6
1428,0d29f58c,6
1429,0d29f58c,6
1452,0d2b5776,6
1453,0d2b5776,6
1476,0d710330,6
1477,0d710330,6
1500,0d820bc7,6
