,chipid,month
0,0060c0a5,0
1,0060c0a5,0
2,0060c0a5,1
3,0060c0a5,1
4,0060c0a5,2
5,0060c0a5,2
6,0060c0a5,3
7,0060c0a5,3
8,0060c0a5,4
9,0060c0a5,4
10,0060c0a5,5
11,0060c0a5,5
12,0060c0a5,6
13,0060c0a5,6
14,0060c0a5,7
15,0060c0a5,7
16,0060c0a5,8
17,0060c0a5,8
18,0060c0a5,9
19,0060c0a5,9
20,0060c0a5,10
21,0060c0a5,10
22,0060c0a5,11
23,0060c0a5,11
24,00e6b793,0
25,00e6b793,0
26,00e6b793,1
27,00e6b793,1
28,00e6b793,2
29,00e6b793,2
30,00e6b793,3
31,00e6b793,3
32,00e6b793,4
33,00e6b793,4
34,00e6b793,5
35,00e6b793,5
36,00e6b793,6
37,00e6b793,6
38,00e6b793,7
39,00e6b793,7
40,00e6b793,8
41,00e6b793,8
42,00e6b793,9
43,00e6b793,9
44,00e6b793,10
45,00e6b793,10
46,00e6b793,11
47,00e6b793,11
48,00fd0698,0
49,00fd0698,0
50,00fd0698,1
51,00fd0698,1
52,00fd0698,2
53,00fd0698,2
54,00fd0698,3
55,00fd0698,3
56,00fd0698,4
57,00fd0698,4
58,00fd0698,5
59,00fd0698,5
60,00fd0698,6
61,00fd0698,6
62,00fd0698,7
63,00fd0698,7
64,00fd0698,8
65,00fd0698,8
66,00fd0698,9
67,00fd0698,9
68,00fd0698,10
69,00fd0698,10
70,00fd0698,11
71,00fd0698,11
72,010966cb,0
73,010966cb,0
74,010966cb,1
75,010966cb,1
76,010966cb,2
77,010966cb,2
78,010966cb,3
79,010966cb,3
80,010966cb,4
81,010966cb,4
82,010966cb,5
83,010966cb,5
84,010966cb,6
85,010966cb,6
86,010966cb,7
87,010966cb,7
88,010966cb,8
89,010966cb,8
90,010966cb,9
91,010966cb,9
92,010966cb,10
93,010966cb,10
94,010966cb,11
95,010966cb,11
96,017f206b,0
97,017f206b,0
98,017f206b,1
99,017f206b,1
100,017f206b,2
101,017f206b,2
102,017f206b,3
103,017f206b,3
104,017f206b,4
105,017f206b,4
106,017f206b,5
107,017f206b,5
108,017f206b,6
109,017f206b,6
110,017f206b,7
111,017f206b,7
112,017f206b,8
113,017f206b,8
114,017f206b,9
115,017f206b,9
116,017f206b,10
117,017f206b,10
118,017f206b,11
119,017f206b,11
120,01b0ad1c,0
121,01b0ad1c,0
122,01b0ad1c,1
123,01b0ad1c,1
124,01b0ad1c,2
125,01b0ad1c,2
126,01b0ad1c,3
127,01b0ad1c,3
128,01b0ad1c,4
129,01b0ad1c,4
130,01b0ad1c,5
131,01b0ad1c,5
132,01b0ad1c,6
133,01b0ad1c,6
134,01b0ad1c,7
135,01b0ad1c,7
136,01b0ad1c,8
137,01b0ad1c,8
138,01b0ad1c,9
139,01b0ad1c,9
140,01b0ad1c,10
141,01b0ad1c,10
142,01b0ad1c,11
143,01b0ad1c,11
144,01f7f810,0
145,01f7f810,0
146,01f7f810,1
147,01f7f810,1
148,01f7f810,2
149,01f7f810,2
150,01f7f810,3
151,01f7f810,3
152,01f7f810,4
153,01f7f810,4
154,01f7f810,5
155,01f7f810,5
156,01f7f810,6
157,01f7f810,6
158,01f7f810,7
159,01f7f810,7
160,01f7f810,8
161,01f7f810,8
162,01f7f810,9
163,01f7f810,9
164,01f7f810,10
165,01f7f810,10
166,01f7f810,11
167,01f7f810,11
168,023f5e10,0
169,023f5e10,0
170,023f5e10,1
171,023f5e10,1
172,023f5e10,2
173,023f5e10,2
174,023f5e10,3
175,023f5e10,3
176,023f5e10,4
177,023f5e10,4
178,023f5e10,5
179,023f5e10,5
180,023f5e10,6
181,023f5e10,6
182,023f5e10,7
183,023f5e10,7
184,023f5e10,8
185,023f5e10,8
186,023f5e10,9
187,023f5e10,9
188,023f5e10,10
189,023f5e10,10
190,023f5e10,11
191,023f5e10,11
192,02613007,0
193,02613007,0
194,02613007,1
195,02613007,1
196,02613007,2
197,02613007,2
198,02613007,3
199,02613007,3
200,02613007,4
201,02613007,4
202,02613007,5
203,02613007,5
204,02613007,6
205,02613007,6
206,02613007,7
207,02613007,7
208,02613007,8
209,02613007,8
210,02613007,9
211,02613007,9
212,02613007,10
213,02613007,10
214,02613007,11
215,02613007,11
216,02763d7a,0
217,02763d7a,0
218,02763d7a,1
219,02763d7a,1
220,02763d7a,2
221,02763d7a,2
222,02763d7a,3
223,02763d7a,3
224,02763d7a,4
225,02763d7a,4
226,02763d7a,5
227,02763d7a,5
228,02763d7a,6
229,02763d7a,6
230,02763d7a,7
231,02763d7a,7
232,02763d7a,8
233,02763d7a,8
234,02763d7a,9
235,02763d7a,9
236,02763d7a,10
237,02763d7a,10
238,02763d7a,11
239,02763d7a,11
240,027a4ff4,0
241,027a4ff4,0
242,027a4ff4,1
243,027a4ff4,1
244,027a4ff4,2
245,027a4ff4,2
246,027a4ff4,3
247,027a4ff4,3
248,027a4ff4,4
249,027a4ff4,4
250,027a4ff4,5
251,027a4ff4,5
252,027a4ff4,6
253,027a4ff4,6
254,027a4ff4,7
255,027a4ff4,7
256,027a4ff4,8
257,027a4ff4,8
258,027a4ff4,9
259,027a4ff4,9
260,027a4ff4,10
261,027a4ff4,10
262,027a4ff4,11
263,027a4ff4,11
264,0287b450,0
265,0287b450,0
266,0287b450,1
267,0287b450,1
268,0287b450,2
269,0287b450,2
270,0287b450,3
271,0287b450,3
272,0287b450,4
273,0287b450,4
274,0287b450,5
275,0287b450,5
276,0287b450,6
277,0287b450,6
278,0287b450,7
279,0287b450,7
280,0287b450,8
281,0287b450,8
282,0287b450,9
283,0287b450,9
284,0287b450,10
285,0287b450,10
286,0287b450,11
287,0287b450,11
288,02a7f72f,0
289,02a7f72f,0
290,02a7f72f,1
291,02a7f72f,1
292,02a7f72f,2
293,02a7f72f,2
294,02a7f72f,3
295,02a7f72f,3
296,02a7f72f,4
297,02a7f72f,4
298,02a7f72f,5
299,02a7f72f,5
300,02a7f72f,6
301,02a7f72f,6
302,02a7f72f,7
303,02a7f72f,7
304,02a7f72f,8
305,02a7f72f,8
306,02a7f72f,9
307,02a7f72f,9
308,02a7f72f,10
309,02a7f72f,10
310,02a7f72f,11
311,02a7f72f,11
312,02c460be,0
313,02c460be,0
314,02c460be,1
315,02c460be,1
316,02c460be,2
317,02c460be,2
318,02c460be,3
319,02c460be,3
320,02c460be,4
321,02c460be,4
322,02c460be,5
323,02c460be,5
324,02c460be,6
325,02c460be,6
326,02c460be,7
327,02c460be,7
328,02c460be,8
329,02c460be,8
330,02c460be,9
331,02c460be,9
332,02c460be,10
333,02c460be,10
334,02c460be,11
335,02c460be,11
336,031fd0f5,0
337,031fd0f5,0
338,031fd0f5,1
339,031fd0f5,1
340,031fd0f5,2
341,031fd0f5,2
342,031fd0f5,3
343,031fd0f5,3
344,031fd0f5,4
