fold,epoch,train_loss_median,val_loss_median,train_loss_mean,val_loss_mean,train_loss_std,val_loss_std
0,0,80.174335,72.843905,81.70751852083333,73.50274260833334,19.616810760788244,17.53865725706282
0,1,73.98428,74.19871499999999,75.41331035833333,75.58133860833334,19.693955472421646,17.331357562180248
0,2,72.917925,72.438175,74.43142671250001,74.55561906666667,19.425107082430188,20.254442500774378
0,3,72.79138499999999,73.57756,74.87356625000001,74.73349580833334,19.385703621092162,17.009163517086872
0,4,72.61082999999999,71.18090000000001,74.49298662916667,73.22501130833334,19.00627948479226,17.8755020478492
0,5,72.61357,71.78482,74.10703924583335,73.5891808,18.91352133288851,19.862569845255546
0,6,72.28148,71.388965,73.95914617083334,73.16914144166667,18.9589570853834,19.737343352723233
0,7,71.96974499999999,70.176695,73.77668920833334,71.61353639166667,18.873924133158372,18.51588923701304
0,8,72.007055,72.24658,73.92540765416666,73.75713450833332,18.84118701509906,18.93802229545905
0,9,72.01831,70.00374,74.0083255375,71.62094539166665,18.900771246695413,18.103057187634455
1,0,80.11125,79.985545,81.665146675,80.11777429166668,19.350472104144195,17.3849439828178
1,1,77.53956,73.13496,79.74255052916666,74.91164302500002,19.64897032927206,18.619180748105393
1,2,74.99076,72.39067,77.00688848749999,74.44678948333333,19.4180248211989,19.550240878884065
1,3,74.639735,73.99367000000001,76.24030830000001,75.71574075833334,19.363320491945,19.47482627376773
1,4,73.59598,73.85445,75.1528826125,75.02162045833333,19.42628035490672,17.98333926673951
1,5,72.77017000000001,72.489405,74.42657217083334,74.16785798333335,19.24241572634575,20.366959746433817
1,6,72.55229,71.158385,74.39908269166668,73.53697285833333,19.070046411174843,20.698466960077432
1,7,72.31054,71.23758000000001,74.12185669166666,72.58940335000001,19.278227574394307,19.839514711285492
1,8,73.03583499999999,70.96981,74.39739269583333,72.38364709166667,19.308933079990627,18.776237551680502
1,9,72.372415,72.08898500000001,74.07963109583335,73.23372495833333,19.212375940384423,18.333854117493306
2,0,80.82542000000001,78.61027,82.14249037083333,79.08462431666666,19.566398553994052,20.860337652828214
2,1,75.037145,71.075775,76.23382027083333,72.91407036666668,19.242201594142916,19.103792615008917
2,2,73.09067,71.112775,74.77374155416668,72.69534576666666,19.11150155344581,19.672663308659637
2,3,72.97377,71.30606,74.31559054166667,72.50603915833334,19.25335149838552,18.105745486708454
2,4,72.584115,71.367685,74.08497692083334,72.97755291666665,19.1167705193942,19.57086728421721
2,5,72.16087999999999,73.77533,73.73549195,74.41138176666666,18.930536003014236,16.67320280988164
2,6,72.24700999999999,71.54016,73.46476980833333,73.09888210833333,18.81308524463384,19.854200555243757
2,7,72.135025,72.67224999999999,73.4546657125,73.51259728333333,18.961396485564876,17.151355000467216
2,8,72.03425,70.00831500000001,73.36190207083334,71.66035438333334,19.030950350324172,19.96470444767275
2,9,72.31540000000001,71.59344999999999,73.42888421250001,72.53932360833333,18.925034659626103,17.751006143676584
3,0,82.43902,81.69778,83.76268535,82.23397635,19.897504986266178,17.26355286595574
3,1,77.616275,73.81712,78.49343442499999,74.93789705833333,19.76336402933629,19.25049288062736
3,2,75.59119,76.53135,76.67739755416667,77.81652134999999,19.815932232398083,22.684125195640178
3,3,75.02029999999999,75.3094,76.20709187916667,76.2570695,19.602896090761355,20.504298324855835
3,4,74.87425,73.660635,76.07130079166667,74.73902720000001,19.70563353344889,19.47259014776159
3,5,74.750205,73.150495,75.751097325,74.217278175,19.93792251824757,20.436714757185165
3,6,74.40564,72.510295,75.45295985,73.82446417499999,19.857289105685677,20.274732082528274
3,7,74.387325,75.89429,75.61141173749999,76.60843388333333,19.533523121810905,20.947587819591522
3,8,73.86448,72.48581,75.00236858333332,73.66570155,19.48715977454024,18.905437096672404
3,9,73.56780499999999,75.80581000000001,74.76507262916667,76.40186749166666,19.395832317475236,17.245785071770488
4,0,83.42718500000001,75.451795,84.56989887916666,77.26300903333333,20.205262952677668,20.758798632940778
4,1,77.68386000000001,74.784305,78.87584184166667,75.94113654166667,19.85474786209844,19.756983238592664
4,2,76.534625,75.36248,77.92158435,76.1993923,19.872857356875386,19.04350550911342
4,3,75.93312,76.037235,76.98768600416668,76.86748076666667,19.496692246394264,18.147659141564247
4,4,74.96580499999999,77.563305,76.15602325833333,79.65726549166666,19.164421215435272,21.924562123032356
4,5,74.971935,75.24611,76.74600732916666,76.34192673333334,19.565638738453416,16.847337781955453
4,6,74.168825,73.37579500000001,75.74402854166667,74.770621125,19.029771207248746,19.284790651867826
4,7,74.578975,75.37825000000001,75.89002063333334,77.04895667500001,18.997834289818726,20.89907825547561
4,8,74.33138,80.53120000000001,75.91194739166667,80.525219725,19.303811141546365,15.344572888500556
4,9,74.15491,77.202565,75.626631525,77.70339325833334,18.915425961884974,16.559111240449457
