,chipid,month
4,0060c0a5,2
5,0060c0a5,2
28,00e6b793,2
29,00e6b793,2
52,00fd0698,2
53,00fd0698,2
76,010966cb,2
77,010966cb,2
100,017f206b,2
101,017f206b,2
124,01b0ad1c,2
125,01b0ad1c,2
148,01f7f810,2
149,01f7f810,2
172,023f5e10,2
173,023f5e10,2
196,02613007,2
197,02613007,2
220,02763d7a,2
221,02763d7a,2
244,027a4ff4,2
245,027a4ff4,2
268,0287b450,2
269,0287b450,2
292,02a7f72f,2
293,02a7f72f,2
316,02c460be,2
317,02c460be,2
340,031fd0f5,2
341,031fd0f5,2
364,03419529,2
365,03419529,2
388,036d94c9,2
389,036d94c9,2
412,03bf29fa,2
413,03bf29fa,2
436,03e506af,2
437,03e506af,2
460,03f9e229,2
461,03f9e229,2
484,043d8d0c,2
485,043d8d0c,2
508,04a6a767,2
509,04a6a767,2
532,04b380c7,2
533,04b380c7,2
556,04d55e6a,2
557,04d55e6a,2
580,04dbc732,2
581,04dbc732,2
604,04debe47,2
605,04debe47,2
628,056224a2,2
629,056224a2,2
652,05e52522,2
653,05e52522,2
676,06212e56,2
677,06212e56,2
700,0636b264,2
701,0636b264,2
724,0651d43e,2
725,0651d43e,2
748,0658093b,2
749,0658093b,2
772,06e891e5,2
773,06e891e5,2
796,07a084ca,2
797,07a084ca,2
820,07e3ec27,2
821,07e3ec27,2
844,08084efe,2
845,08084efe,2
868,0823f904,2
869,0823f904,2
892,083f0dfb,2
893,083f0dfb,2
916,08c83160,2
917,08c83160,2
940,08ecfd3c,2
941,08ecfd3c,2
964,092ce360,2
965,092ce360,2
988,0950a3da,2
989,0950a3da,2
1012,0964800b,2
1013,0964800b,2
1036,0980ecf3,2
1037,0980ecf3,2
1060,09914ef8,2
1061,09914ef8,2
1084,0a04e5c1,2
1085,0a04e5c1,2
1108,0a073fe4,2
1109,0a073fe4,2
1132,0aa21699,2
1133,0aa21699,2
1156,0ad475a1,2
1157,0ad475a1,2
1180,0b255824,2
1181,0b255824,2
1204,0b8d5875,2
1205,0b8d5875,2
1228,0baa5577,2
1229,0baa5577,2
1252,0bf069c3,2
1253,0bf069c3,2
1276,0c19b4a5,2
1277,0c19b4a5,2
1300,0c4a3582,2
1301,0c4a3582,2
1324,0ca16dfd,2
1325,0ca16dfd,2
1348,0ca69c96,2
1349,0ca69c96,2
1372,0d0be2c8,2
1373,0d0be2c8,2
1396,0d226508,2
1397,0d226508,2
1420,0d29f58c,2
1421,0d29f58c,2
1444,0d2b5776,2
