,chipid,month
5353,59b37278,1
5029,54964462,1
601,0b8d5875,1
4045,4618c2da,1
4861,51e245a8,1
4201,4803a402,1
1189,1567ab76,1
3193,39692edf,1
85,023f5e10,1
2473,2c4cd182,1
4537,4cb57ce4,1
2737,316b775d,1
841,0fcf82e4,1
4285,48c13286,1
5665,60805364,1
4129,470864c8,1
2281,2a00a2fd,1
4741,4f99566d,1
3433,3df541d5,1
1141,14d3b92b,1
5713,617b7fa2,1
2497,2d715f00,1
4969,537f2249,1
2977,35e67e33,1
4069,468f17b8,1
6025,67c23b64,1
4525,4c68eadb,1
4129,470864c8,1
4225,482fbb62,1
4873,5209306d,1
3001,369b577d,1
5365,5a00c0c2,1
5893,65e3f853,1
469,08ecfd3c,1
5245,57ae707d,1
2533,2ea02c81,1
1921,2578965b,1
2437,2c0df8ed,1
1429,1b9a4249,1
4393,4a89a571,1
673,0ca69c96,1
421,08084efe,1
4297,48dcaf51,1
5773,62ec80c0,1
2869,33c704f0,1
481,092ce360,1
2017,26ea6cd0,1
2425,2beb2a9d,1
4105,46ca4055,1
5101,55a14920,1
3961,441d0238,1
145,02a7f72f,1
3937,436c7c16,1
5881,64f70d75,1
1177,151cf430,1
5437,5acc7439,1
3433,3df541d5,1
1825,23e1f93f,1
3205,396d2d93,1
4225,482fbb62,1
4645,4efe5ed2,1
5725,61dc34a5,1
3793,4209a502,1
649,0c4a3582,1
4165,479938e1,1
5305,58fd9072,1
4093,46c47554,1
3229,3a38b65d,1
3109,37a66587,1
613,0baa5577,1
3265,3abcf82c,1
3037,36dc0542,1
2485,2d5826ca,1
637,0c19b4a5,1
2269,29f826ca,1
5437,5acc7439,1
3493,3eb6d001,1
2449,2c1d11dd,1
2497,2d715f00,1
421,08084efe,1
3997,44d3d930,1
2701,314025df,1
5713,617b7fa2,1
193,036d94c9,1
805,0efa5c94,1
5581,5ef62f01,1
613,0baa5577,1
625,0bf069c3,1
4417,4afe30d7,1
3769,41c29144,1
3217,3a019b49,1
817,0f5d3266,1
5785,6380be28,1
349,0636b264,1
5605,5f7e84f0,1
733,0d710330,1
3661,40b50fd1,1
1081,147c9028,1
1225,168d2687,1
2077,2844f6c1,1
